aprA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02061" target="_blank">TIGR02061</a> - adenylylsulfate reductase, alpha subunit
asrA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02910" target="_blank">TIGR02910</a> - sulfite reductase, subunit A
asrB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02911" target="_blank">TIGR02911</a> - sulfite reductase, subunit B
asrC	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02912" target="_blank">TIGR02912</a> - sulfite reductase, subunit C
cysC	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00455" target="_blank">TIGR00455</a> - adenylyl-sulfate kinase
cysN	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02034" target="_blank">TIGR02034</a> - sulfate adenylyltransferase, large subunit
sat	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR00339" target="_blank">TIGR00339</a> - sulfate adenylyltransferase
fcc	<a href="https://pfam.xfam.org/family/PF09242" target="_blank">PF09242</a> - Flavocytochrome c sulfide dehydrogenase, flavin-binding
sqr	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - Sulfide oxidation
dsrD	<a href="https://pfam.xfam.org/family/PF08679" target="_blank">PF08679</a> - Dissimilatory sulfite reductase D (DsrD)
dsrA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02064" target="_blank">TIGR02064</a> - sulfite reductase, dissimilatory-type alpha subunit
dsrB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02066" target="_blank">TIGR02066</a> - sulfite reductase, dissimilatory-type beta subunit
sor	<a href="https://pfam.xfam.org/family/PF07682" target="_blank">PF07682</a> - Sulfur oxygenase reductase
sulfur_dioxygenase	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - Sulfur oxidation
phsA	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - Thiosulfate disproportionation
soxB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04486" target="_blank">TIGR04486</a> - thiosulfohydrolase SoxB
soxC	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04555" target="_blank">TIGR04555</a> - sulfite dehydrogenase
soxY	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04488" target="_blank">TIGR04488</a> - thiosulfate oxidation carrier protein SoxY
